Type: 1, SNR: 10.000000, BER: 4.609375e-02
Type: 1, SNR: 15.000000, BER: 1.210938e-02
Type: 1, SNR: 20.000000, BER: 7.812500e-04
Type: 1, SNR: 25.000000, BER: 0.000000e+00
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.015625e-02
Type: 2, SNR: 15.000000, BER: 6.250000e-03
Type: 2, SNR: 20.000000, BER: 0.000000e+00
Type: 2, SNR: 25.000000, BER: 0.000000e+00
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Type: 1, SNR: 10.000000, BER: 6.223438e-02
Type: 1, SNR: 20.000000, BER: 7.578125e-04
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.066406e-02
Type: 2, SNR: 20.000000, BER: 4.648437e-04
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Type: 1, Modulation: , SNR: 10.000000, BER: 6.402344e-02
Type: 1, Modulation: , SNR: 20.000000, BER: 5.976562e-04
Type: 2, Modulation: , SNR: 10.000000, BER: 6.281250e-02
Type: 2, Modulation: , SNR: 20.000000, BER: 6.835937e-04
Type: 1, Modulation: , SNR: 10.000000, BER: 7.003125e-02
Type: 1, Modulation: , SNR: 20.000000, BER: 2.015625e-03
Type: 2, Modulation: , SNR: 10.000000, BER: 7.373438e-02
Type: 2, Modulation: , SNR: 20.000000, BER: 2.328125e-03
Type: 1, Modulation: , SNR: 10.000000, BER: 5.966016e-02
Type: 1, Modulation: , SNR: 20.000000, BER: 6.367188e-04
Type: 2, Modulation: , SNR: 10.000000, BER: 6.585156e-02
Type: 2, Modulation: , SNR: 20.000000, BER: 5.742187e-04
Type: 1, Modulation: , SNR: 10.000000, BER: 5.811523e-02
Type: 1, Modulation: , SNR: 20.000000, BER: 3.457031e-04
Type: 2, Modulation: , SNR: 10.000000, BER: 6.006055e-02
Type: 2, Modulation: , SNR: 20.000000, BER: 4.306641e-04
Date: 2025_June_08_17-36-24: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.501719e-01
Date: 2025_June_08_17-38-32: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.508047e-01
Date: 2025_June_08_17-40-40: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.410156e-02
Date: 2025_June_08_17-42-48: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 2.929687e-04

Date: 2025_June_08_17-46-14: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.490742e-01
Date: 2025_June_08_17-48-18: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.502344e-01
Date: 2025_June_08_17-50-22: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.436719e-02
Date: 2025_June_08_17-52-27: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 7.226562e-04
Date: 2025_June_08_21-51-48: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.502969e-01
Date: 2025_June_08_21-53-54: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.501992e-01
Date: 2025_June_08_21-55-59: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.133203e-02
Date: 2025_June_08_21-58-06: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.273438e-04
Date: 2025_June_08_22-14-19: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.501289e-01
Date: 2025_June_08_22-16-28: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.502773e-01
Date: 2025_June_08_22-18-37: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.373047e-02
Date: 2025_June_08_22-20-49: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.508203e-01
Date: 2025_June_08_22-22-54: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.507187e-01
Date: 2025_June_08_22-24-59: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.370312e-02
Date: 2025_June_08_22-27-03: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.726562e-04
Date: 2025_June_09_06-16-54: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.491484e-01
Date: 2025_June_09_06-18-58: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.500195e-01
Date: 2025_June_09_06-22-33: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.489570e-01
Date: 2025_June_09_06-24-37: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.489648e-01
Date: 2025_June_09_06-26-42: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 5.919531e-02
Date: 2025_June_09_06-29-07: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.498984e-01
Date: 2025_June_09_06-31-11: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.495039e-01
Date: 2025_June_09_06-48-34: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.781250e-03
Date: 2025_June_09_06-50-39: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.812500e-06
Date: 2025_June_09_06-52-43: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.086719e-02
Date: 2025_June_09_06-54-47: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 6.093750e-04
Date: 2025_June_09_07-00-03: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.093750e-03
Date: 2025_June_09_07-02-11: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.953125e-05
Date: 2025_June_09_07-04-16: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.069922e-02
Date: 2025_June_09_07-06-21: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 6.835937e-04
Date: 2025_June_10_20-01-57: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.405391e-01
Date: 2025_June_10_20-04-11: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.390508e-01
Date: 2025_June_10_20-06-19: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.542969e-02
