Date: 2025_June_17_19-58-59: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.835937e-03
Date: 2025_June_17_20-01-12: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.171875e-05
Date: 2025_June_17_20-03-20: ,Scenario Index: 1, Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.547656e-02
Date: 2025_June_17_20-05-28: ,Scenario Index: 1, Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.804687e-04
Date: 2025_June_17_20-24-46: ,Scenario Index: 7, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 1.292773e-02
Date: 2025_June_17_20-44-00: ,Scenario Index: 7, Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.146484e-03
Date: 2025_June_17_21-03-09: ,Scenario Index: 7, Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 7.554883e-02
Date: 2025_June_17_21-59-28: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.494492e-01
Date: 2025_June_17_22-05-44: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.525180e-01
Date: 2025_June_18_04-01-59: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.500698e-01
Date: 2025_June_18_04-15-29: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.506961e-01
Date: 2025_June_18_04-19-50: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.499448e-01
Date: 2025_June_18_08-20-16: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.503906e-03
Date: 2025_June_18_08-22-11: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 3.906250e-06
Date: 2025_June_18_08-23-35: ,Scenario Index: 1, Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.865234e-02
Date: 2025_June_18_08-24-59: ,Scenario Index: 1, Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 8.437500e-04
Date: 2025_June_18_08-36-28: ,Scenario Index: 7, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 1.190039e-02
Date: 2025_June_18_08-47-57: ,Scenario Index: 7, Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.214844e-03
Date: 2025_June_18_08-59-38: ,Scenario Index: 7, Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 7.450781e-02
Date: 2025_June_18_09-11-13: ,Scenario Index: 7, Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 3.435547e-03
Date: 2025_June_18_09-49-23: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.554687e-03
Date: 2025_June_18_09-51-23: ,Scenario Index: 1, Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 0.000000e+00
Date: 2025_June_18_09-52-55: ,Scenario Index: 1, Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.353906e-02
